Tite,Year,Certification,duration,genre,rating
The Bubble,2022,TV-MA,117,Crime,7.4
Bloodline,2021,,58,Action,6.7
Get Smart with Money,2016,TV-MA,60,Action,7.5
Marriage Story,2022,TV-14,119,Animation,6.3
A Series of Unfortunate Events,2022,PG,209,Adventure,5.2
Hell or High Water,2022,TV-MA,126,Comedy,4.7
Dark Desire,2015,R,60,Drama,7.9
The Human Centipede (First Sequence),2022,TV-MA,93,Documentary,5.6
Ghost,2019,TV-PG,137,Drama,7.9
Army of the Dead,2017,R,50,Adventure,7.8
Lawrence of Arabia,2016,TV-PG,102,Crime,7.6
The Lost World: Jurassic Park,2020,R,30,Drama,6.5
Ocean's Eight,2009,TV-MA,92,Horror,4.4
Gods of Egypt,1990,R,127,Drama,7.1
Barbarians,2021,PG-13,148,Action,5.7
The Bold Type,1962,R,218,Adventure,8.3
Atypical,1997,Approved,129,Action,6.5
Rosemary's Baby,1998,PG-13,24,Animation,8.9
3rd Rock from the Sun,2018,TV-14,110,Action,6.3
Mars Attacks!,2016,PG-13,127,Action,5.4
Kong: Skull Island,2020,PG-13,280,Action,7.2
There's Something About Mary,2017,TV-MA,45,Comedy,7.8
Don't Breathe,2017,TV-14,30,Comedy,8.3
Now You See Me,1968,TV-MA,137,Drama,8
One Of Us Is Lying,1996,Approved,60,Comedy,7.8
Monty Python and the Holy Grail,1996,TV-PG,106,Comedy,6.4
Batman v Superman: Dawn of Justice,2017,PG-13,118,Action,6.6
Climax,1998,PG-13,119,Comedy,7.1
Lupin,2016,R,88,Crime,7.1
Entergalactic,2013,R,115,Crime,7.2
The Old Guard,2021,PG-13,50,Crime,6.8
The Serpent,1975,TV-MA,91,Adventure,8.2
"tick, tick... BOOM!",2016,PG,152,Action,6.4
The Pale Blue Eye,2018,PG-13,97,Drama,6.9
Alice in Borderland,2021,R,45,Action,7.5
Carter,2020,,125,Action,6.6
The Babysitter,2021,R,458,Crime,7.6
Outlaw King,2021,TV-MA,120,Biography,7.5
Good Witch,2020,R,50,Action,7.6
Extraction,2016,TV-MA,370,Comedy,7.6
Cleveland Abduction,2022,TV-14,132,Action,5.1
Army of Thieves,2017,TV-MA,85,Comedy,6.3
Selling the OC,2018,TV-MA,121,Action,6.9
Dawson's Creek,2013,R,98,Animation,7.3
12 Strong,2015,PG,48,Comedy,7.3
Lone Survivor,2020,TV-PG,116,Action,6.7
Into the Night,2015,R,88,Biography,6.6
Inside Job,2021,TV-14,127,Action,6.4
Chef's Table: Pizza,2022,TV-MA,30,Reality,5.5
Major,1998,TV-MA,60,Drama,6.8
Bird Box,2018,TV-14,130,Action,6.5
The Fresh Prince of Bel-Air,2013,R,121,Action,7.5
Through My Window,2020,R,35,Drama,7.1
The Holiday,2021,TV-MA,30,Animation,7.6
Moonrise Kingdom,2022,TV-MA,45,Documentary,7.4
He's All That,2022,TV-MA,150,Action,8.2
Superwog,2018,,124,Horror,6.6
Breakfast at Tiffany's,1990,R,22,Comedy,7.9
The Girl in the Spider's Web,2022,TV-PG,116,Comedy,5.4
The Karate Kid,2006,TV-MA,136,Comedy,6.9
Shot Caller,2012,PG-13,94,Comedy,7.8
The Missing,2021,PG-13,88,Comedy,4.4
Moneyball,2017,TV-14,30,Comedy,7.4
Clusterf**k: Woodstock '99,1961,TV-MA,115,Comedy,7.6
Stay Close,2018,Approved,115,Action,6.1
Furious 7,2010,R,140,Action,6.2
Top Gear,2017,PG,121,Crime,7.3
Lou,2014,R,60,Crime,8.2
Lost Ollie,2011,TV-14,133,Biography,7.6
Fatal Attraction,2022,PG-13,142,Documentary,7.4
Untold: The Girlfriend Who Didn't Exist,2021,TV-MA,375,Crime,6.9
Mighty Morphin Power Rangers,2015,TV-MA,137,Action,7.1
Love Is Blind,2002,,60,Adventure,8.7
The Pentaverate,2022,TV-PG,107,Action,5.9
Doom,2022,R,45,Animation,7.8
Pan,1987,TV-PG,119,Drama,6.9
Crazy Ex-Girlfriend,2022,R,124,Documentary,7.2
A Walk to Remember,2011,TV-MA,118,Crime,7.3
Enola Holmes 2,1993,R,30,Action,6.5
When Calls the Heart,1979,TV-Y7,94,Comedy,8
Space Force,2020,R,48,Game,6.1
The Shannara Chronicles,2022,TV-MA,160,Comedy,6.1
Lucy,2005,TV-MA,105,Action,5.2
Midnight in Paris,2015,R,111,Action,5.7
Contagion,2015,PG,42,Comedy,7.8
Project X,2002,TV-14,101,Drama,7.3
The Alienist,2014,PG-13,43,Drama,7.9
Pokémon,2020,TV-G,30,Comedy,6.7
Wentworth,2016,TV-MA,42,Adventure,7.1
Knocked Up,2014,TV-14,89,Action,6.4
I Think You Should Leave with Tim Robinson,2011,R,94,Comedy,7.7
Ivy & Bean,2011,PG-13,106,Drama,6.8
The Fall of the House of Usher,2012,PG-13,88,Comedy,6.6
Robin Hood,2017,R,102,Animation,6.7
Return to Sender,2018,G,60,Crime,7.7
Kingdom,1997,TV-MA,24,Animation,7.5
Windfall,2013,TV-Y7,45,Crime,8.6
Hell on Wheels,2007,TV-MA,129,Comedy,6.9
Henry Danger,2019,R,16,Comedy,7.9
Love and Monsters,2022,TV-MA,56,Action,5.9
Princess Mononoke,2018,,116,Action,5.3
The Legend of Korra,2015,PG-13,92,Drama,5.1
The Call,2019,Not Rated,45,Action,8.3
Atomic Blonde,2022,TV-MA,92,Crime,5.7
Fear Street: Part Two - 1978,2011,R,42,Drama,8.3
Copenhagen Cowboy,2014,TV-14,30,Action,5.6
The Expendables 2,2020,TV-G,109,Action,6.9
Indian Predator: The Diary of a Serial Killer,2018,PG-13,30,Animation,7.2
The Ritual,1997,TV-MA,134,Animation,8.4
When They See Us,2012,PG-13,23,Animation,8.4
Sicario: Day of the Soldado,2020,TV-PG,112,Crime,7.1
The Real Housewives of Beverly Hills,2017,TV-MA,115,Action,6.7
The Emperor's New Groove,2021,R,109,Drama,6.7
The Hitman's Bodyguard,2022,R,,Crime,8.5
Monster Hunter,2012,,103,Action,6.6
Between,2022,R,123,Documentary,6.7
The Amazing World of Gumball,2017,,94,Horror,6.3
One Piece,2019,TV-MA,296,Biography,8.9
Geostorm,2018,TV-MA,122,Action,7.1
Metal Lords,2010,R,44,Reality,5.2
Robin Hood: Prince of Thieves,2000,TV-14,78,Animation,7.4
Darlings,2017,G,118,Action,6.9
Steven Universe,2020,R,103,Action,5.2
Hairspray,2015,PG-13,60,Drama,5.9
Escape Room,2011,TV-14,11,Animation,8.3
Sweet Tooth,2017,TV-14,109,Action,5.3
Into the Badlands,2022,PG-13,97,Comedy,6.7
Spartacus: Gods of the Arena,1991,R,143,Action,6.9
Newness,2022,PG-13,133,Comedy,6.6
